user,location,tweet,Tweet_punct
virus50030024,,@realDonaldTrump is a fascist,realDonaldTrump is a fascist
ravemnn,"Polokwane, South Africa","@realdonaldtrump 

can’t wait for your dog ass to get out of office already. you’ve created such a large division a… https://t.co/HkMQvYyqBE","realdonaldtrump 

can’t wait for your dog ass to get out of office already you’ve created such a large division a… httpstcoHkMQvYyqBE"
reaISteveBannon,"Washington, DC","@realDonaldTrump You embarrass me every day, Donald.",realDonaldTrump You embarrass me every day Donald
OnyekaThunder,,"@realDonaldTrump come and be the president of all African countries, America don't deserve you.

A prophet does not recognise in his land.","realDonaldTrump come and be the president of all African countries America dont deserve you

A prophet does not recognise in his land"
cherrybaehs,"Holmes Chapel, England",RT @Zedd: @realDonaldTrump this is you in a few weeks https://t.co/DjRnWDaGMI,RT Zedd realDonaldTrump this is you in a few weeks httpstcoDjRnWDaGMI
ZenaMiretnjer,"The Black Shroud, Gridania",RT @BionicleArmy: @realDonaldTrump We're coming. Watch out. https://t.co/ioStlM3dGZ,RT BionicleArmy realDonaldTrump Were coming Watch out httpstcoioStlMdGZ
sashasimic,London UK,"@realDonaldTrump and the @Conservatives - two cheeks on the  same arse.
Me in today's @M_Star_Online https://t.co/cRRQ637DxE","realDonaldTrump and the Conservatives  two cheeks on the  same arse
Me in todays MStarOnline httpstcocRRQDxE"
JeanBry15180410,,RT @LabyrinthWeaver: @realDonaldTrump raise your hands if you think Trump must be arrested immediately,RT LabyrinthWeaver realDonaldTrump raise your hands if you think Trump must be arrested immediately
JeanBry15180410,,RT @amethystbroder1: @realDonaldTrump A cop was assaulted with a pole holding a Blue Lives Matter flag. He died. What do you say? Add at le…,RT amethystbroder realDonaldTrump A cop was assaulted with a pole holding a Blue Lives Matter flag He died What do you say Add at le…
m_reen,,"RT @MontyBoa99: @realDonaldTrump Trump lied when he claimed he sent the National Guard to DC. He *blocked* them from assisting. 

It took a…","RT MontyBoa realDonaldTrump Trump lied when he claimed he sent the National Guard to DC He blocked them from assisting 

It took a…"
JeanBry15180410,,"RT @themission12: @realDonaldTrump Wow. A concession speech. Too late. Pence called for help. Why, oh why, couldn't you have been more Pres…",RT themission realDonaldTrump Wow A concession speech Too late Pence called for help Why oh why couldnt you have been more Pres…
JeanBry15180410,,"RT @thepaganlight: @realDonaldTrump People calling Trump the greatest president we’ve ever had are telling the biggest lie ever. But no, in…",RT thepaganlight realDonaldTrump People calling Trump the greatest president we’ve ever had are telling the biggest lie ever But no in…
JeanBry15180410,,RT @Davoooo7: @realDonaldTrump You are acting like a kid who’s trying to be on his best behavior now that shit went south but still minimiz…,RT Davoooo realDonaldTrump You are acting like a kid who’s trying to be on his best behavior now that shit went south but still minimiz…
Lana_DDS500,"Knoxville, Tn","RT @RSBNetwork: @realDonaldTrump Mr. President, we fought like hell and left nothing on the table. We did our best, we’re sorry it wasn’t e…",RT RSBNetwork realDonaldTrump Mr President we fought like hell and left nothing on the table We did our best we’re sorry it wasn’t e…
JeanBry15180410,,RT @AndyOstroy: @realDonaldTrump It’s coming... https://t.co/TGSbwmDXKx,RT AndyOstroy realDonaldTrump It’s coming httpstcoTGSbwmDXKx
JeanBry15180410,,RT @aliberk65: @realDonaldTrump Looks like he was told he was definitely leaving via 25th amendment or impeachment. He should have given th…,RT aliberk realDonaldTrump Looks like he was told he was definitely leaving via th amendment or impeachment He should have given th…
SunsetfilmMusic,United States of A,"RT @SunsetfilmMusic: @realDonaldTrump Mr.Trump,it's time to make a unification speech to America. You should make a speech about bringing t…",RT SunsetfilmMusic realDonaldTrump MrTrumpits time to make a unification speech to America You should make a speech about bringing t…
